program,pseudotime_bin,pseudotime_mid,mean_z,se_z,cells
AMPK-SIRT1,1,0.020054416169978086,-0.3073655841490889,0.3310174625608999,5
AMPK-SIRT1,2,0.05317623101794364,-0.5586044985430954,0.12422221469525935,29
AMPK-SIRT1,3,0.08678521690056284,-0.34156994537103624,0.09980383467004521,82
AMPK-SIRT1,4,0.12017342717674852,-0.29626582561208414,0.05813551211898242,237
AMPK-SIRT1,5,0.15176354267583966,-0.13933909290519358,0.03734963414864992,586
AMPK-SIRT1,6,0.1849424632458301,-0.09300173505058927,0.025906205798631524,1193
AMPK-SIRT1,7,0.2166954337044359,-0.13911720733919072,0.022768041443608427,1557
AMPK-SIRT1,8,0.25019612065568636,-0.02448663980340365,0.022789070266364876,1595
AMPK-SIRT1,9,0.28212585095622594,-0.015683942826167165,0.024277400088939114,1688
AMPK-SIRT1,10,0.31468403022063196,-0.2115929093472119,0.03069844298775397,894
AMPK-SIRT1,11,0.3480470620411833,-0.31432899073367754,0.046159690392264696,414
AMPK-SIRT1,12,0.3796648568341548,-0.16816294415490657,0.08126170034540506,189
AMPK-SIRT1,13,0.4107735857581508,0.09578869614316887,0.17274459841088385,28
AMPK-SIRT1,14,0.4428113152286836,-0.06361900094469862,0.2916450667508012,12
AMPK-SIRT1,15,0.4884207923432276,-0.16611234992596538,0.4339314718874842,6
AMPK-SIRT1,16,0.5170662626164096,0.18784292006438852,0.1375699473679677,61
AMPK-SIRT1,17,0.5529956599121909,0.18462313352932422,0.12064511493462947,78
AMPK-SIRT1,18,0.5844615506111523,0.40899761556720365,0.0816358945533508,207
AMPK-SIRT1,19,0.6163875716592444,0.3401224186165773,0.07491567413838222,281
AMPK-SIRT1,20,0.6506002662918077,0.19607886524731027,0.05328984347424565,411
AMPK-SIRT1,21,0.683089477888012,0.19276233847400384,0.04763852448845946,517
AMPK-SIRT1,22,0.7163468860114403,0.26720646306290324,0.05068514765526355,502
AMPK-SIRT1,23,0.7485947149836245,0.2463044908953669,0.04949426367763182,451
AMPK-SIRT1,24,0.7817568307256878,0.366279904915603,0.056975913728152625,298
AMPK-SIRT1,25,0.815187578196657,0.5848164858013468,0.08711844226888309,154
AMPK-SIRT1,26,0.8469884961524322,0.6253724480792596,0.12659194144300567,78
AMPK-SIRT1,27,0.8818339479188878,0.700340022214618,0.18059746148013273,30
AMPK-SIRT1,28,0.9132367958391283,1.0004064958762917,0.4764937068242564,10
AMPK-SIRT1,29,0.9575083722505024,-0.08879496543038538,0.36298007160016127,3
AMPK-SIRT1,30,0.9837770521174899,1.1215795715293424,1.0159844732127234,4
Contractile,1,0.020054416169978086,-0.2528257481548045,0.46806116353823085,5
Contractile,2,0.05317623101794364,-0.3147671539859418,0.1253611265435994,29
Contractile,3,0.08678521690056284,-0.22512181325222202,0.09688280493795781,82
Contractile,4,0.12017342717674852,-0.019381250812574996,0.08129153953527596,237
Contractile,5,0.15176354267583966,-0.1000990120626474,0.037583438855838855,586
Contractile,6,0.1849424632458301,-0.08168629138940262,0.025342310858760302,1193
Contractile,7,0.2166954337044359,0.03732359736482606,0.02335317406705737,1557
Contractile,8,0.25019612065568636,0.1316608813914467,0.023700089433648753,1595
Contractile,9,0.28212585095622594,0.2490246137707393,0.023987799920229383,1688
Contractile,10,0.31468403022063196,0.37749398010280794,0.03488390748445999,894
Contractile,11,0.3480470620411833,0.3452361840935133,0.05512803243112443,414
Contractile,12,0.3796648568341548,0.28679752283673926,0.07176815652562746,189
Contractile,13,0.4107735857581508,0.5309234219149123,0.18192699564744666,28
Contractile,14,0.4428113152286836,0.8127669707425403,0.33477854389911227,12
Contractile,15,0.4884207923432276,-6.2758462958618e-4,0.5860311262772614,6
Contractile,16,0.5170662626164096,0.11267961361571455,0.12465268353822544,61
Contractile,17,0.5529956599121909,-0.1782990440130546,0.07037421248581134,78
Contractile,18,0.5844615506111523,-0.2111000366572648,0.05986325570682855,207
Contractile,19,0.6163875716592444,-0.3022688499618511,0.04102072442681903,281
Contractile,20,0.6506002662918077,-0.3981191979840751,0.0369580869509779,411
Contractile,21,0.683089477888012,-0.3966576836906971,0.03254489184699039,517
Contractile,22,0.7163468860114403,-0.39460857946479366,0.0391039847293372,502
Contractile,23,0.7485947149836245,-0.44445463541392344,0.03644655725698503,451
Contractile,24,0.7817568307256878,-0.5887433457695407,0.038647681813160764,298
Contractile,25,0.815187578196657,-0.606468257521452,0.04700353031856202,154
Contractile,26,0.8469884961524322,-0.5206784037159066,0.07658757939803162,78
Contractile,27,0.8818339479188878,-0.6206403647986393,0.11061661749367935,30
Contractile,28,0.9132367958391283,-0.4483678182676222,0.18530852106519624,10
Contractile,29,0.9575083722505024,-0.5671658904526258,0.40886210775316234,3
Contractile,30,0.9837770521174899,-0.7532315967111036,0.24093241081192626,4
ECM remodeling,1,0.020054416169978086,0.8673368479555915,0.21891675146607997,5
ECM remodeling,2,0.05317623101794364,1.0567809961540597,0.12853249111000525,29
ECM remodeling,3,0.08678521690056284,0.8176990026696834,0.07588341275929622,82
ECM remodeling,4,0.12017342717674852,0.6434725472980083,0.04700038092185802,237
ECM remodeling,5,0.15176354267583966,0.48281456274292195,0.02979410848556799,586
ECM remodeling,6,0.1849424632458301,0.285006507847122,0.019707428239762858,1193
ECM remodeling,7,0.2166954337044359,0.15299195685244765,0.02143246055097565,1557
ECM remodeling,8,0.25019612065568636,0.2294992538117985,0.019804262797415016,1595
ECM remodeling,9,0.28212585095622594,0.23364803986284283,0.01883135173650164,1688
ECM remodeling,10,0.31468403022063196,0.21221604437921995,0.03424670843745308,894
ECM remodeling,11,0.3480470620411833,0.36315413407706987,0.06533534698802974,414
ECM remodeling,12,0.3796648568341548,0.3497254233494941,0.09824893289972998,189
ECM remodeling,13,0.4107735857581508,0.23288057995877956,0.19697823865321168,28
ECM remodeling,14,0.4428113152286836,0.12165533639812817,0.34730269041317785,12
ECM remodeling,15,0.4884207923432276,0.5376653973734861,0.721780370241981,6
ECM remodeling,16,0.5170662626164096,-0.10332228881656948,0.16411783902230972,61
ECM remodeling,17,0.5529956599121909,-0.18798000635422385,0.09964500421513632,78
ECM remodeling,18,0.5844615506111523,-0.2730717705388726,0.07659111513155915,207
ECM remodeling,19,0.6163875716592444,-0.48788852085025575,0.05514038221831373,281
ECM remodeling,20,0.6506002662918077,-0.7699412416720315,0.045685959238054685,411
ECM remodeling,21,0.683089477888012,-0.8490776206778292,0.04019966362707047,517
ECM remodeling,22,0.7163468860114403,-0.8671731767192186,0.04218035801922721,502
ECM remodeling,23,0.7485947149836245,-0.8656497933421518,0.0446729647445886,451
ECM remodeling,24,0.7817568307256878,-0.9586098203555571,0.05149700697531272,298
ECM remodeling,25,0.815187578196657,-0.8382740164745183,0.07457492514681371,154
ECM remodeling,26,0.8469884961524322,-0.8441461210836794,0.09810984337392842,78
ECM remodeling,27,0.8818339479188878,-0.9076906059086755,0.1856011482044422,30
ECM remodeling,28,0.9132367958391283,-0.7446619212339433,0.3475161080973096,10
ECM remodeling,29,0.9575083722505024,-0.9575714070933729,0.5321701499309442,3
ECM remodeling,30,0.9837770521174899,-1.0622284823040082,0.3280118061903586,4
Inflammatory,1,0.020054416169978086,-0.6151935072637766,0.2941636640222872,5
Inflammatory,2,0.05317623101794364,-0.7430933390666392,0.09499215041745314,29
Inflammatory,3,0.08678521690056284,-0.7511580189065159,0.0680879246974201,82
Inflammatory,4,0.12017342717674852,-0.5784249837384958,0.04715190394932496,237
Inflammatory,5,0.15176354267583966,-0.4978862901485318,0.028693174675384108,586
Inflammatory,6,0.1849424632458301,-0.4006978142960128,0.020774982089163962,1193
Inflammatory,7,0.2166954337044359,-0.3141894891356068,0.021636814486671353,1557
Inflammatory,8,0.25019612065568636,-0.3160390865406904,0.022239524548730533,1595
Inflammatory,9,0.28212585095622594,-0.272567326071182,0.019734507405810595,1688
Inflammatory,10,0.31468403022063196,-0.20109875983869355,0.028502935641564513,894
Inflammatory,11,0.3480470620411833,-0.17084339266487966,0.041893222681251625,414
Inflammatory,12,0.3796648568341548,-0.18451121310119817,0.07453684271332436,189
Inflammatory,13,0.4107735857581508,0.11749904573920743,0.11571378295681473,28
Inflammatory,14,0.4428113152286836,-0.4002632282285808,0.15812006495328423,12
Inflammatory,15,0.4884207923432276,0.16805525428103135,0.39338580151886465,6
Inflammatory,16,0.5170662626164096,0.7858214526228827,0.13264367844550004,61
Inflammatory,17,0.5529956599121909,1.201622903896595,0.11161513523304228,78
Inflammatory,18,0.5844615506111523,1.1584609788945426,0.07246223756155128,207
Inflammatory,19,0.6163875716592444,0.9686424658106926,0.060602738538881554,281
Inflammatory,20,0.6506002662918077,0.8874230175492834,0.042443006117259305,411
Inflammatory,21,0.683089477888012,0.8901176130943731,0.039368584821522334,517
Inflammatory,22,0.7163468860114403,0.8037471948299693,0.03823236940579224,502
Inflammatory,23,0.7485947149836245,0.842676668306781,0.04010267040198973,451
Inflammatory,24,0.7817568307256878,0.7580591679975281,0.047896777239350506,298
Inflammatory,25,0.815187578196657,0.991609023998586,0.06426582016031676,154
Inflammatory,26,0.8469884961524322,0.8739035092480273,0.08900645810511773,78
Inflammatory,27,0.8818339479188878,0.6846024880457838,0.17494169107476676,30
Inflammatory,28,0.9132367958391283,0.5073096287517673,0.2852533455236653,10
Inflammatory,29,0.9575083722505024,0.9376207984918126,0.09471571937271374,3
Inflammatory,30,0.9837770521174899,0.8420454333293101,0.2550577009040364,4
Metabolic stress,1,0.020054416169978086,-0.7924058407961333,0.2713168866334575,5
Metabolic stress,2,0.05317623101794364,-0.7150095386177726,0.12253226888553144,29
Metabolic stress,3,0.08678521690056284,-0.6312696355303793,0.09397112723526965,82
Metabolic stress,4,0.12017342717674852,-0.33184860494224994,0.062337378188709464,237
Metabolic stress,5,0.15176354267583966,-0.17633205265644178,0.03642946463644029,586
Metabolic stress,6,0.1849424632458301,0.028414855379842084,0.025960381371102757,1193
Metabolic stress,7,0.2166954337044359,0.06052028396873139,0.023530464960761666,1557
Metabolic stress,8,0.25019612065568636,0.13372580511022836,0.02295927581161146,1595
Metabolic stress,9,0.28212585095622594,0.03902061978002061,0.023255229641265043,1688
Metabolic stress,10,0.31468403022063196,0.08268808737422677,0.03435539761206781,894
Metabolic stress,11,0.3480470620411833,-0.0195870560120469,0.05263083862682164,414
Metabolic stress,12,0.3796648568341548,-0.002931499552363492,0.08494924892117968,189
Metabolic stress,13,0.4107735857581508,-0.11826588606109364,0.24631231608358062,28
Metabolic stress,14,0.4428113152286836,-0.538772164175459,0.3409127660346276,12
Metabolic stress,15,0.4884207923432276,-0.6047579274948621,0.4270305644509892,6
Metabolic stress,16,0.5170662626164096,0.09711202789035953,0.14888178083725026,61
Metabolic stress,17,0.5529956599121909,0.21343166016091755,0.12625804879841596,78
Metabolic stress,18,0.5844615506111523,0.10752172281452248,0.08984807369959061,207
Metabolic stress,19,0.6163875716592444,-0.04672892942726445,0.07246630434617383,281
Metabolic stress,20,0.6506002662918077,-0.016100266071722887,0.05509414792781172,411
Metabolic stress,21,0.683089477888012,-0.09400222530427249,0.04640648480597386,517
Metabolic stress,22,0.7163468860114403,-0.12932697754211311,0.046937182393609646,502
Metabolic stress,23,0.7485947149836245,-0.08155811385338353,0.050208531841252194,451
Metabolic stress,24,0.7817568307256878,-0.06035135764402761,0.06147795807524614,298
Metabolic stress,25,0.815187578196657,-0.023273833200640203,0.09096934592733057,154
Metabolic stress,26,0.8469884961524322,-0.3122651377298225,0.09998224775808841,78
Metabolic stress,27,0.8818339479188878,-0.15756577340123415,0.2001461415134885,30
Metabolic stress,28,0.9132367958391283,-0.12115392065704877,0.299255638414455,10
Metabolic stress,29,0.9575083722505024,-0.8985601643228828,0.8744683853215922,3
Metabolic stress,30,0.9837770521174899,-1.455823817422917,0.3244697701454337,4
Transition pressure,1,0.020054416169978086,0.05221256035575397,0.3878190002450684,5
Transition pressure,2,0.05317623101794364,0.15123639805355857,0.12048892058939677,29
Transition pressure,3,0.08678521690056284,0.019411034733387185,0.09131208478941162,82
Transition pressure,4,0.12017342717674852,-0.0779447173088978,0.08084450336183731,237
Transition pressure,5,0.15176354267583966,0.01887941555204613,0.03667771557783628,586
Transition pressure,6,0.1849424632458301,0.03378618007176597,0.02590794768601646,1193
Transition pressure,7,0.2166954337044359,-0.07916153477607853,0.024672086654643714,1557
Transition pressure,8,0.25019612065568636,-0.12036961721910136,0.025133379702188357,1595
Transition pressure,9,0.28212585095622594,-0.24208206512572522,0.023933675201089546,1688
Transition pressure,10,0.31468403022063196,-0.3310253630137813,0.0362164850969875,894
Transition pressure,11,0.3480470620411833,-0.2774553190823868,0.05931584247746034,414
Transition pressure,12,0.3796648568341548,-0.2271833859017901,0.0803359966109258,189
Transition pressure,13,0.4107735857581508,-0.42920006524053167,0.220181690813626,28
Transition pressure,14,0.4428113152286836,-1.0070107514673352,0.3638243051155563,12
Transition pressure,15,0.4884207923432276,0.017035391420529206,0.5397616859271942,6
Transition pressure,16,0.5170662626164096,0.12031638477654534,0.13288928774962044,61
Transition pressure,17,0.5529956599121909,0.5229184996301832,0.09182238864624027,78
Transition pressure,18,0.5844615506111523,0.4815238074105732,0.07143982359973548,207
Transition pressure,19,0.6163875716592444,0.39450893465371506,0.05078839518942827,281
Transition pressure,20,0.6506002662918077,0.3807598211136515,0.04344113311600341,411
Transition pressure,21,0.683089477888012,0.33236208144762014,0.03863681535672311,517
Transition pressure,22,0.7163468860114403,0.28786420758669495,0.04228278684323903,502
Transition pressure,23,0.7485947149836245,0.36035942253692027,0.04149703259330701,451
Transition pressure,24,0.7817568307256878,0.4446654452571755,0.04335582369143247,298
Transition pressure,25,0.815187578196657,0.580087253223253,0.05548910215510139,154
Transition pressure,26,0.8469884961524322,0.37581673970421753,0.08360858810090392,78
Transition pressure,27,0.8818339479188878,0.4373290748027589,0.10154929962547143,30
Transition pressure,28,0.9132367958391283,0.28649957438160245,0.12701134415861587,10
Transition pressure,29,0.9575083722505024,0.22441687532535573,0.08059748997256871,3
Transition pressure,30,0.9837770521174899,0.1636487528808639,0.1742751894880858,4
